Team,W,L,T,AverageYards,CompletionRate,Location
LA,13,3,0,8.13,63.48,CA
NO,13,3,0,7.83,71.35,LA
CHI,12,4,0,7.22,64.65,IL
KC,12,4,0,8.63,65.38,MO
HOU,11,5,0,8.06,66.22,TX
NE,11,5,0,7.52,63.97,MA
PIT,9,6,1,7.33,64.94,PA
BAL,10,6,0,6.52,58.89,MD
IND,10,6,0,6.98,65.46,IN
SEA,10,6,0,7.61,63.29,WA
MIN,8,7,1,6.98,69.52,MN
TEN,9,7,0,7.28,65.32,TN
CLE,7,8,1,7.38,60.34,OH
GB,6,9,1,7.07,59.91,WI
ATL,7,9,0,7.88,68.16,GA
CAR,7,9,0,7.04,65.45,NC
MIA,7,9,0,7.11,62.79,FL
BUF,6,10,0,6.05,53.32,NY
DEN,6,10,0,6.57,61.1,CO
DET,6,10,0,6.58,63.71,MI
NYG,5,11,0,7.4,64.15,NJ
OAK,4,12,0,7.27,67.67,NV
ARI,3,13,0,5.74,55.75,AZ
